expected_name,predicted_name,count,evidence_class
purple,blue,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
purple,brown,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
purple,grey,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
purple,green,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
purple,orange,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
purple,pink,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
purple,purple,3,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
purple,red,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
purple,white,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
purple,yellow,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,black,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,blue,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,brown,2,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,grey,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,green,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,orange,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,pink,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,purple,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,red,1,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,white,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
red,yellow,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,black,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,blue,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,brown,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,grey,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,green,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,orange,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,pink,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,purple,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,red,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,white,2,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
white,yellow,1,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,black,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,blue,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,brown,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,grey,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,green,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,orange,1,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,pink,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,purple,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,red,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,white,0,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
yellow,yellow,2,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
